StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
VWAP8,2019-Sep-13 13:30:01.012805,AAPL,-1,219.640000,0.006120,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505854,,FILL
VWAP8,2019-Sep-13 13:30:01.541646,MSFT,1,137.920000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505855,,FILL
VWAP8,2019-Sep-13 13:30:01.630178,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505856,,FILL
VWAP8,2019-Sep-13 13:30:01.630243,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505857,,FILL
VWAP8,2019-Sep-13 13:30:01.898861,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505858,,FILL
VWAP8,2019-Sep-13 13:30:01.898929,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505859,,FILL
VWAP8,2019-Sep-13 13:30:03.224567,MSFT,-5,128.000000,0.020336,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505860,,FILL
VWAP8,2019-Sep-13 13:30:03.225904,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505861,,FILL
VWAP8,2019-Sep-13 13:30:03.246363,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505862,,FILL
VWAP8,2019-Sep-13 13:30:03.362636,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505863,,FILL
VWAP8,2019-Sep-13 13:30:03.375473,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505864,,FILL
VWAP8,2019-Sep-13 13:30:03.389954,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505865,,FILL
VWAP8,2019-Sep-13 13:30:03.390001,MSFT,-5,128.000000,0.020336,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505866,,FILL
VWAP8,2019-Sep-13 13:30:03.551507,MSFT,1,140.840000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505867,,FILL
VWAP8,2019-Sep-13 13:30:03.883243,AAPL,-1,218.640000,0.006098,REMOVED,0,,SIM-1001-101,dlariviere,NASDAQ,369229748505868,,FILL
