Name,Time,Cumulative PnL
VWAP8,2019-Sep-13 13:30:15.382104,-369.463299
VWAP8,2019-Sep-13 13:31:19.387251,-1444.353438
VWAP8,2019-Sep-13 13:32:25.862841,-2357.862220
VWAP8,2019-Sep-13 13:33:27.773336,-2657.896430
VWAP8,2019-Sep-13 13:34:28.275606,-2835.225106
VWAP8,2019-Sep-13 13:35:28.907596,-2859.239694
VWAP8,2019-Sep-13 13:36:29.201627,-2981.666840
VWAP8,2019-Sep-13 13:37:30.412118,-3189.350918
VWAP8,2019-Sep-13 13:38:31.468003,-3292.871050
VWAP8,2019-Sep-13 13:39:33.170582,-3647.992698
VWAP8,2019-Sep-13 13:40:34.470428,-3773.032518
VWAP8,2019-Sep-13 13:41:35.143788,-3991.434027
VWAP8,2019-Sep-13 13:42:35.443492,-4487.658472
VWAP8,2019-Sep-13 13:43:37.256311,-4592.823711
VWAP8,2019-Sep-13 13:44:38.644418,-4779.755545
VWAP8,2019-Sep-13 13:45:38.829622,-4938.055275
VWAP8,2019-Sep-13 13:46:40.259681,-4993.245234
VWAP8,2019-Sep-13 13:47:41.071884,-5053.818693
VWAP8,2019-Sep-13 13:48:41.571750,-5113.752029
VWAP8,2019-Sep-13 13:49:42.113696,-5162.656421
VWAP8,2019-Sep-13 13:50:42.451448,-5244.249937
VWAP8,2019-Sep-13 13:51:44.267499,-5288.054704
VWAP8,2019-Sep-13 13:52:46.570588,-5332.478950
VWAP8,2019-Sep-13 13:53:47.359490,-5477.353669
VWAP8,2019-Sep-13 13:54:50.625878,-5493.357248
VWAP8,2019-Sep-13 13:55:51.861256,-5597.065650
VWAP8,2019-Sep-13 13:56:54.051430,-5722.144363
VWAP8,2019-Sep-13 13:57:55.895022,-5821.881246
VWAP8,2019-Sep-13 13:58:56.731394,-5960.930201
VWAP8,2019-Sep-13 13:59:59.057720,-6113.222189
VWAP8,2019-Sep-13 14:01:00.217863,-6163.752514
VWAP8,2019-Sep-13 14:02:00.959824,-6207.350979
VWAP8,2019-Sep-13 14:03:01.370831,-6289.324476
VWAP8,2019-Sep-13 14:04:01.661816,-6303.985665
VWAP8,2019-Sep-13 14:05:02.212048,-6430.515157
VWAP8,2019-Sep-13 14:06:02.579540,-6503.675019
VWAP8,2019-Sep-13 14:07:03.200829,-6537.333811
VWAP8,2019-Sep-13 14:08:03.387176,-6605.587580
VWAP8,2019-Sep-13 14:09:04.315815,-6666.448026
VWAP8,2019-Sep-13 14:10:06.468244,-6761.794625
VWAP8,2019-Sep-13 14:11:07.489371,-6800.921688
VWAP8,2019-Sep-13 14:12:08.874430,-6788.609594
VWAP8,2019-Sep-13 14:13:09.541586,-6792.880079
VWAP8,2019-Sep-13 14:14:10.368747,-6875.559000
VWAP8,2019-Sep-13 14:15:11.124935,-6975.931670
VWAP8,2019-Sep-13 14:16:11.850885,-6984.224906
VWAP8,2019-Sep-13 14:17:13.752536,-7094.855219
VWAP8,2019-Sep-13 14:18:14.519806,-7096.927419
VWAP8,2019-Sep-13 14:19:16.834423,-7102.876840
VWAP8,2019-Sep-13 14:20:18.386490,-7151.018170
VWAP8,2019-Sep-13 14:21:20.246487,-7196.400151
VWAP8,2019-Sep-13 14:22:22.295561,-7254.151134
VWAP8,2019-Sep-13 14:23:24.099852,-7287.438870
VWAP8,2019-Sep-13 14:24:24.799271,-7324.308801
VWAP8,2019-Sep-13 14:25:25.285229,-7371.736752
VWAP8,2019-Sep-13 14:26:26.940526,-7428.305177
VWAP8,2019-Sep-13 14:27:28.606944,-7451.035411
VWAP8,2019-Sep-13 14:28:28.924120,-7514.846265
VWAP8,2019-Sep-13 14:29:29.481112,-7551.100882
VWAP8,2019-Sep-13 14:30:30.211622,-7562.302398
VWAP8,2019-Sep-13 14:31:30.516678,-7589.241916
VWAP8,2019-Sep-13 14:32:30.968965,-7714.703771
VWAP8,2019-Sep-13 14:33:31.339527,-7885.784651
VWAP8,2019-Sep-13 14:34:33.021646,-8009.692586
VWAP8,2019-Sep-13 14:35:33.215506,-8132.465113
VWAP8,2019-Sep-13 14:36:34.201633,-8165.099406
VWAP8,2019-Sep-13 14:37:35.054437,-8202.232988
VWAP8,2019-Sep-13 14:38:35.689260,-8227.090409
VWAP8,2019-Sep-13 14:39:36.104879,-8276.528583
VWAP8,2019-Sep-13 14:40:37.440535,-8546.087106
VWAP8,2019-Sep-13 14:41:37.832707,-8806.257791
VWAP8,2019-Sep-13 14:42:39.403516,-9569.408333
VWAP8,2019-Sep-13 14:43:40.655768,-9896.830181
VWAP8,2019-Sep-13 14:44:42.070514,-10253.363474
VWAP8,2019-Sep-13 14:45:43.188232,-10666.215256
VWAP8,2019-Sep-13 14:46:43.637337,-10892.945038
VWAP8,2019-Sep-13 14:47:46.717468,-11252.205931
VWAP8,2019-Sep-13 14:48:47.462671,-11828.559700
VWAP8,2019-Sep-13 14:49:48.362163,-12140.754151
VWAP8,2019-Sep-13 14:50:50.358140,-12148.348302
VWAP8,2019-Sep-13 14:51:50.830181,-12175.993990
VWAP8,2019-Sep-13 14:52:51.394721,-12202.070468
VWAP8,2019-Sep-13 14:53:53.129748,-12239.540134
VWAP8,2019-Sep-13 14:54:53.625900,-12267.422486
VWAP8,2019-Sep-13 14:55:54.809153,-12289.059045
VWAP8,2019-Sep-13 14:56:55.026298,-12310.693537
VWAP8,2019-Sep-13 14:57:56.003051,-12330.136160
VWAP8,2019-Sep-13 14:58:56.459069,-12333.464844
VWAP8,2019-Sep-13 14:59:57.069874,-12344.978337
VWAP8,2019-Sep-13 15:00:57.326533,-12960.073876
VWAP8,2019-Sep-13 15:01:58.073133,-13404.794899
VWAP8,2019-Sep-13 15:02:58.490750,-13660.001133
VWAP8,2019-Sep-13 15:03:59.841641,-14086.894156
VWAP8,2019-Sep-13 15:05:02.067406,-14498.801020
VWAP8,2019-Sep-13 15:06:02.758618,-15006.695509
VWAP8,2019-Sep-13 15:07:03.275036,-15132.046508
VWAP8,2019-Sep-13 15:08:03.520967,-15154.011106
VWAP8,2019-Sep-13 15:09:04.153722,-15513.152878
VWAP8,2019-Sep-13 15:10:04.891617,-15937.513296
VWAP8,2019-Sep-13 15:11:06.287149,-16003.725299
VWAP8,2019-Sep-13 15:12:07.318139,-16559.943151
VWAP8,2019-Sep-13 15:13:08.916733,-16672.529700
VWAP8,2019-Sep-13 15:14:09.896151,-17055.674275
VWAP8,2019-Sep-13 15:15:10.124431,-17749.776218
VWAP8,2019-Sep-13 15:16:11.826020,-17990.054265
VWAP8,2019-Sep-13 15:17:14.697392,-18103.742846
VWAP8,2019-Sep-13 15:18:15.994330,-18724.274633
VWAP8,2019-Sep-13 15:19:18.560955,-18954.894332
VWAP8,2019-Sep-13 15:20:20.252143,-19134.285868
VWAP8,2019-Sep-13 15:21:22.190347,-19510.378026
VWAP8,2019-Sep-13 15:22:22.860708,-19732.006490
VWAP8,2019-Sep-13 15:23:24.059642,-20083.545595
VWAP8,2019-Sep-13 15:24:27.772649,-20435.832653
VWAP8,2019-Sep-13 15:25:28.027557,-20732.621961
VWAP8,2019-Sep-13 15:26:28.504545,-20805.965634
VWAP8,2019-Sep-13 15:27:29.312987,-21145.192743
VWAP8,2019-Sep-13 15:28:33.092818,-21475.932528
VWAP8,2019-Sep-13 15:29:33.557356,-21649.280873
VWAP8,2019-Sep-13 15:30:34.294973,-22276.044686
VWAP8,2019-Sep-13 15:31:36.226298,-22786.242625
VWAP8,2019-Sep-13 15:32:39.055759,-23341.149952
VWAP8,2019-Sep-13 15:33:41.413262,-23795.644197
VWAP8,2019-Sep-13 15:34:43.692090,-24299.301061
VWAP8,2019-Sep-13 15:35:44.048851,-24495.461359
VWAP8,2019-Sep-13 15:36:44.867614,-24589.723247
VWAP8,2019-Sep-13 15:37:45.960380,-24716.673785
VWAP8,2019-Sep-13 15:38:47.138985,-24803.100045
VWAP8,2019-Sep-13 15:39:49.218962,-24865.764416
VWAP8,2019-Sep-13 15:40:50.698241,-24851.571139
VWAP8,2019-Sep-13 15:41:51.963747,-24859.761421
VWAP8,2019-Sep-13 15:42:53.063655,-24875.033277
VWAP8,2019-Sep-13 15:43:54.157221,-24876.496271
VWAP8,2019-Sep-13 15:44:56.133136,-24886.319223
VWAP8,2019-Sep-13 15:45:57.677046,-24910.869145
VWAP8,2019-Sep-13 15:46:59.807521,-24944.497175
VWAP8,2019-Sep-13 15:48:02.195045,-24968.270761
VWAP8,2019-Sep-13 15:49:02.806804,-25005.976129
VWAP8,2019-Sep-13 15:50:03.410180,-25055.619089
VWAP8,2019-Sep-13 15:51:03.751075,-25103.471525
VWAP8,2019-Sep-13 15:52:06.289908,-25118.461383
VWAP8,2019-Sep-13 15:53:07.612898,-25153.951137
VWAP8,2019-Sep-13 15:54:09.661925,-25206.251305
VWAP8,2019-Sep-13 15:55:10.077260,-25279.178408
VWAP8,2019-Sep-13 15:56:11.434172,-25311.852106
VWAP8,2019-Sep-13 15:57:13.016548,-25337.659397
VWAP8,2019-Sep-13 15:58:13.595448,-25378.247797
VWAP8,2019-Sep-13 15:59:14.236244,-25405.109582
